Dataset,Weights,Image Size,Threshold,FileName,F1_Value,Precision_Value
2,ASL_320_16_nano.pt,160,0.6,exp104,0.949742393,0.914783203
,,,,,,
1,ASL_64_16_nano.pt,320,0.6,exp105,0.867447909,0.817201823
,,,,,,
2,ASL_64_16_nano.pt,320,0.6,exp106,0.845612397,0.792619793
,,,,,,
1,ASL_128_16_nano.pt,320,0.6,exp107,0.919960049,0.87456528
,,,,,,
2,ASL_128_16_nano.pt,320,0.6,exp108,0.894308636,0.833336689
,,,,,,
1,ASL_160_16_nano.pt,320,0.6,exp109,0.961672758,0.934039795
,,,,,,
2,ASL_160_16_nano.pt,320,0.6,exp110,0.926139036,0.874022217
,,,,,,
1,ASL_320_16_nano.pt,320,0.6,exp111,0.941966395,0.904615228
,,,,,,
2,ASL_320_16_nano.pt,320,0.6,exp112,0.938821444,0.900308091
,,,,,,
1,ASL_64_16_nano.pt,640,0.6,exp113,0.81469315,0.768036058
,,,,,,
2,ASL_64_16_nano.pt,640,0.6,exp114,0.828066676,0.784903945
,,,,,,
1,ASL_128_16_nano.pt,640,0.6,exp115,0.929657595,0.893506029
,,,,,,
2,ASL_128_16_nano.pt,640,0.6,exp116,0.943265366,0.914076165
,,,,,,
1,ASL_160_16_nano.pt,640,0.6,exp117,0.974251016,0.959952559
,,,,,,
2,ASL_160_16_nano.pt,640,0.6,exp118,0.967745066,0.945770227
,,,,,,
1,ASL_320_16_nano.pt,640,0.6,exp119,0.963537657,0.94002037
,,,,,,
2,ASL_320_16_nano.pt,640,0.6,exp120,0.98254967,0.968073464
,,,,,,
1,ASL_64_16_nano.pt,64,0.65,exp121,0.961005081,0.938981981
,,,,,,
2,ASL_64_16_nano.pt,64,0.65,exp122,0.901905739,0.837893859
,,,,,,
1,ASL_128_16_nano.pt,64,0.65,exp123,0.949373773,0.913466069
,,,,,,
2,ASL_128_16_nano.pt,64,0.65,exp124,0.932974937,0.8874054
,,,,,,
1,ASL_160_16_nano.pt,64,0.65,exp125,0.899493151,0.834947898
,,,,,,
2,ASL_160_16_nano.pt,64,0.65,exp126,0.910478061,0.852049705
,,,,,,
1,ASL_320_16_nano.pt,64,0.65,exp127,0.961202088,0.939372292
,,,,,,
2,ASL_320_16_nano.pt,64,0.65,exp128,0.971353935,0.959092406
,,,,,,
1,ASL_64_16_nano.pt,128,0.65,exp129,0.899890469,0.842010723
,,,,,,
2,ASL_64_16_nano.pt,128,0.65,exp130,0.880070101,0.816733274
,,,,,,
1,ASL_128_16_nano.pt,128,0.65,exp131,0.960788369,0.933382568
,,,,,,
2,ASL_128_16_nano.pt,128,0.65,exp132,0.921475812,0.865609802
,,,,,,
1,ASL_160_16_nano.pt,128,0.65,exp133,0.946021416,0.913464955
,,,,,,
2,ASL_160_16_nano.pt,128,0.65,exp134,0.944363912,0.908408394
,,,,,,
1,ASL_320_16_nano.pt,128,0.65,exp135,0.90419321,0.841187131
,,,,,,
2,ASL_320_16_nano.pt,128,0.65,exp136,0.94303445,0.903271694
,,,,,,
1,ASL_64_16_nano.pt,160,0.65,exp137,0.920521604,0.880213051
,,,,,,
2,ASL_64_16_nano.pt,160,0.65,exp138,0.896307533,0.84287507
,,,,,,
1,ASL_128_16_nano.pt,160,0.65,exp139,0.932997035,0.888927759
,,,,,,
2,ASL_128_16_nano.pt,160,0.65,exp140,0.913734872,0.858179649
,,,,,,
1,ASL_160_16_nano.pt,160,0.65,exp141,0.96810477,0.945985002
,,,,,,
2,ASL_160_16_nano.pt,160,0.65,exp142,0.939571541,0.904307708
,,,,,,
1,ASL_320_16_nano.pt,160,0.65,exp143,0.934942431,0.891680652
,,,,,,
2,ASL_320_16_nano.pt,160,0.65,exp144,0.952960256,0.919510629
,,,,,,
1,ASL_64_16_nano.pt,320,0.65,exp145,0.901991138,0.859332263
,,,,,,
2,ASL_64_16_nano.pt,320,0.65,exp146,0.874540344,0.823516694
,,,,,,
1,ASL_128_16_nano.pt,320,0.65,exp147,0.94749176,0.913492894
,,,,,,
2,ASL_128_16_nano.pt,320,0.65,exp148,0.917235181,0.867111414
,,,,,,
1,ASL_160_16_nano.pt,320,0.65,exp149,0.973353094,0.954279178
,,,,,,
2,ASL_160_16_nano.pt,320,0.65,exp150,0.946082269,0.908337684
,,,,,,
1,ASL_320_16_nano.pt,320,0.65,exp151,0.941966395,0.904615228
,,,,,,
2,ASL_320_16_nano.pt,320,0.65,exp152,0.94357644,0.908187998
,,,,,,
1,ASL_64_16_nano.pt,640,0.65,exp153,0.843345665,0.80269024
,,,,,,
2,ASL_64_16_nano.pt,640,0.65,exp154,0.858525257,0.815821018
,,,,,,
1,ASL_128_16_nano.pt,640,0.65,exp155,0.956844207,0.932477027
,,,,,,
